months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital.gains,capital.loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
116,38,843971,2007-11-14,IN,100/300,2000,1207.97,2000000.0,538587,FEMALE,Masters,transport-moving,camping,wife,39862,0,2015-02-23,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Northbend,4231 3rd Ave,3,2,NO,0,0,YES,59410.0,2060,10500,51730,Chevrolet,Tahoe,2010,N
92,43,281430,2010-09-11,OH,100/300,1000,1603.21,0.0,591961,MALE,PhD,armed-forces,sleeping,not-in-family,0,53038,2015-02-24,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Riverwood,3100 Best St,17,1,NO,2,3,?,99170.0,5500,11200,43770,Saab,92x,2004,N
180,38,815458,1990-02-23,OH,500/1000,500,1559.01,0.0,449206,MALE,Masters,machine-op-inspct,base-jumping,not-in-family,10441,20482,2015-02-21,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Springfield,4272 Oak Ridge,19,1,?,2,4,?,79000.0,9990,8630,30370,Toyota,Camry,2004,N
231,34,154364,2010-08-08,OH,100/300,500,1412.32,9000000.0,499260,MALE,High School,craft-repair,reading,not-in-family,0,0,2015-01-24,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,10,1,YES,2,0,YES,67130.0,16580,8980,40800,Mercedes,C300,1986,Y
227,19,859821,1997-11-23,IL,500/1000,500,1169.69,5000000.0,396423,FEMALE,College,transport-moving,video-games,unmarried,18907,41792,2015-01-13,Parked Car,?,Minor Damage,,SC,Arlington,7930 Texas Ave,0,1,NO,0,2,NO,10570.0,500,0,18700,Toyota,Camry,2009,N
102,39,906531,2007-03-14,OH,500/1000,500,1421.97,5000000.0,480169,FEMALE,Associate,priv-house-serv,movies,not-in-family,0,45150,2015-01-31,Vehicle Theft,?,Minor Damage,Police,WV,Northbrook,4237 4th St,3,1,NO,2,1,NO,31400.0,70,0,360,Mercedes,E400,1991,N
237,35,802498,2011-06-25,OH,100/300,500,1020.96,6000000.0,459936,FEMALE,Masters,prof-specialty,paintball,wife,4851,58334,2015-02-27,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Arlington,6259 Lincoln Hwy,8,2,?,1,2,YES,62820.0,5700,13450,31800,Accura,TL,2000,N
266,43,748347,1997-03-03,IL,100/300,2000,725.88,8000000.0,419260,MALE,Masters,sales,camping,not-in-family,8537,0,2015-01-20,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Springfield,9751 Tree St,4,4,YES,2,2,NO,86310.0,8440,11390,55250,Dodge,Neon,2009,N
66,27,221534,1999-01-25,IN,250/500,500,1867.47,5000000.0,553803,MALE,PhD,protective-serv,board-games,own-child,16545,421,2015-02-03,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,1507 Solo Ave,19,2,NO,1,1,NO,54880.0,10480,6770,20000,Honda,CRV,2008,Y
117,31,570365,1992-11-09,IL,100/300,2000,1612.74,2000000.0,461966,MALE,MD,protective-serv,video-games,unmarried,0,0,2015-01-09,Single Vehicle Collision,Side Collision,Total Loss,Other,WV,Columbus,7740 MLK St,10,1,NO,0,1,?,13100.0,0,1300,4410,Suburu,Impreza,2004,N
181,38,519585,1990-10-02,OH,250/500,1000,1273.15,6000000.0,642108,MALE,Masters,protective-serv,polo,unmarried,2992,46759,2015-02-12,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Northbrook,6853 Sky Hwy,9,3,NO,1,0,?,87790.0,5500,12300,21480,Toyota,Corolla,2013,N
85,29,145083,1991-11-04,IL,250/500,1000,1080.55,0.0,466859,MALE,College,exec-managerial,sleeping,not-in-family,0,0,2015-02-08,Multi-vehicle Collision,Rear Collision,Major Damage,Other,VA,Springfield,6191 Oak Lane,1,2,YES,2,3,NO,54200.0,7380,3800,39970,Honda,CRV,2005,Y
116,33,606947,2002-01-23,IL,250/500,500,805.26,0.0,493470,MALE,JD,sales,video-games,other-relative,0,0,2015-01-10,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,SC,Columbus,2352 MLK Drive,4,1,?,0,2,YES,47200.0,8700,470,31210,Suburu,Legacy,2008,N
72,48,66175,2006-08-05,IN,500/1000,2000,944.63,0.0,495244,MALE,High School,priv-house-serv,skydiving,not-in-family,69998,10834,2015-01-05,Vehicle Theft,?,Trivial Damage,,OH,Columbus,3878 Tree Lane,14,1,?,0,2,?,27700.0,4300,4220,10190,Dodge,RAM,1996,N
112,43,48657,2012-06-02,IL,250/500,2000,1357.82,0.0,404055,MALE,PhD,craft-repair,golf,not-in-family,23592,6467,2015-02-02,Vehicle Theft,?,Trivial Damage,Police,NY,Hillsdale,3590 Best Hwy,2,2,NO,3,0,YES,27600.0,5300,4400,10500,Suburu,Impreza,2010,N
80,25,526702,1991-07-20,IN,100/300,500,1303.52,0.0,481342,MALE,Associate,adm-clerical,paintball,other-relative,0,27572,2015-02-15,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Northbend,1030 Pine Lane,15,4,NO,2,2,?,59800.0,14430,2000,35700,Chevrolet,Silverado,2003,Y
358,36,371642,2010-06-02,IL,100/300,1000,1241.44,0.0,443406,MALE,College,prof-specialty,exercise,own-child,0,41801,2015-02-23,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Northbend,6751 5th Hwy,5,1,NO,0,3,YES,81220.0,11090,16600,31300,Mercedes,ML350,2008,N
106,24,305464,2014-09-17,OH,500/1000,1000,648.04,3000000.0,399577,MALE,JD,farming-fishing,skydiving,husband,0,61026,2015-02-12,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,Arlington,9719 4th Lane,13,3,YES,2,3,?,39430.0,4100,12340,31480,Ford,F150,2002,Y
115,45,368296,1997-03-10,IL,100/300,1000,1172.3,0.0,476420,FEMALE,Masters,exec-managerial,movies,wife,0,0,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,6011 Britain St,13,1,NO,0,1,?,71190.0,17200,3900,65330,Mercedes,C300,2000,N
208,34,660455,1990-02-03,IL,100/300,500,1042.12,0.0,569649,MALE,Associate,tech-support,base-jumping,unmarried,29371,8712,2015-02-27,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,3525 3rd Hwy,14,2,?,2,2,YES,22940.0,13600,12000,56070,Audi,A5,2012,N
50,27,824862,2011-12-16,IL,250/500,500,1146.1,0.0,469501,MALE,MD,exec-managerial,kayaking,unmarried,0,53267,2015-02-16,Multi-vehicle Collision,Front Collision,Minor Damage,Other,WV,Columbus,3818 Texas Ridge,7,4,?,1,1,?,83400.0,1100,11900,29570,Chevrolet,Tahoe,2003,N
205,40,656277,1995-02-21,IN,500/1000,1000,1538.88,2000000.0,412593,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,0,0,2015-02-05,Single Vehicle Collision,Rear Collision,Total Loss,Other,NY,Columbus,7504 Flute Drive,9,1,NO,1,4,YES,41500.0,7320,11180,42300,Saab,95,2002,N
92,29,681390,1998-12-11,IN,250/500,500,1619.68,1000000.0,588061,MALE,High School,exec-managerial,yachting,unmarried,0,83255,2015-02-09,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Springfield,8212 Rock Ave,5,4,NO,2,3,?,92500.0,15300,8090,48260,Dodge,Neon,2006,N
77,21,513071,2000-07-15,IL,250/500,1000,1947.92,0.0,436722,FEMALE,High School,craft-repair,exercise,other-relative,0,2660,2015-02-09,Single Vehicle Collision,Front Collision,Total Loss,Fire,SC,Riverwood,7144 Andromedia St,7,2,NO,2,1,YES,67700.0,5400,2200,55480,Audi,A3,2004,N
50,53,200136,1995-04-16,IN,250/500,500,1093.53,0.0,351467,MALE,Associate,other-service,bungie-jumping,husband,5228,0,2015-01-26,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,VA,Northbend,2123 Texas Ave,20,1,?,2,3,NO,70300.0,15600,7600,34050,Saab,93,2007,Y
318,36,732626,2013-01-05,IL,100/300,1000,691.99,6000000.0,445661,MALE,MD,sales,reading,other-relative,0,0,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Hillsdale,8489 Pine Hwy,11,1,NO,2,1,NO,72400.0,16210,8390,23400,Jeep,Grand Cherokee,1998,N
395,66,338448,2005-03-31,IL,100/300,2000,1174.18,3000000.0,437139,FEMALE,PhD,tech-support,hiking,own-child,0,38727,2015-02-04,Multi-vehicle Collision,Front Collision,Major Damage,Police,SC,Arlington,5997 Embaracadero Drive,13,3,NO,2,2,?,28480.0,4100,5680,47900,Suburu,Impreza,2011,Y
517,47,79278,2006-01-01,IL,250/500,1000,1331.37,5000000.0,559643,MALE,Associate,sales,board-games,wife,87319,80399,2015-01-07,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Columbus,8655 Cherokee Lane,18,3,?,1,2,NO,46010.0,3900,3020,27800,Mercedes,E400,1994,N
143,35,307266,2003-10-11,IL,250/500,2000,1146.89,2000000.0,622153,MALE,High School,machine-op-inspct,yachting,husband,86506,0,2015-01-28,Multi-vehicle Collision,Side Collision,Minor Damage,Police,WV,Arlington,8917 Cherokee Lane,18,4,NO,1,0,YES,9800.0,5550,6300,1600,Toyota,Camry,2002,N
248,41,412139,2008-02-03,IL,100/300,2000,1365.06,6000000.0,525106,FEMALE,High School,priv-house-serv,skydiving,other-relative,0,0,2015-01-18,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Columbus,3915 Embaracadero St,14,2,NO,3,1,NO,79190.0,16300,13980,75600,Chevrolet,Silverado,1998,N
304,45,287587,2012-07-24,IN,100/300,1000,1398.54,0.0,392941,MALE,JD,transport-moving,hiking,own-child,0,62299,2015-02-17,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Riverwood,1580 Maple Lane,3,1,NO,1,2,?,63600.0,14410,2200,48390,Accura,RSX,2008,N
429,63,145947,2011-05-25,IL,250/500,2000,1122.21,4000000.0,665644,MALE,Associate,priv-house-serv,bungie-jumping,wife,2743,3662,2015-02-24,Parked Car,?,Trivial Damage,Police,NC,Northbend,8991 Texas Hwy,21,2,NO,0,3,NO,16500.0,4500,650,24100,Saab,93,2006,N
162,9,299006,2003-03-04,OH,100/300,1000,1275.62,2000000.0,612669,FEMALE,Masters,protective-serv,golf,not-in-family,0,6571,2015-01-24,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Northbrook,8983 Tree St,7,2,YES,1,0,YES,53600.0,10000,16150,44860,Suburu,Impreza,1994,N
295,39,755351,2009-11-25,IN,500/1000,1000,938.22,1000000.0,382530,FEMALE,High School,craft-repair,cross-fit,own-child,22877,0,2015-02-06,Vehicle Theft,?,Minor Damage,Police,WV,Springfield,6702 Andromedia St,5,1,?,3,1,YES,5800.0,2460,4900,27900,Volkswagen,Jetta,2014,Y
354,35,931530,1991-12-14,IN,100/300,1000,1448.15,1000000.0,470887,MALE,JD,transport-moving,sleeping,own-child,32258,0,2015-02-08,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Springfield,1914 Francis St,23,4,?,2,1,?,30300.0,0,3300,48410,Audi,A3,1999,N
221,39,567508,2001-12-09,OH,100/300,1000,886.21,0.0,728253,FEMALE,MD,craft-repair,video-games,own-child,0,40712,2015-02-20,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Northbend,2290 4th Ave,12,3,YES,3,0,YES,45700.0,6570,10700,65000,Ford,F150,2010,N
365,33,699979,2010-06-02,IL,100/300,500,1534.46,0.0,454124,MALE,College,prof-specialty,exercise,own-child,0,14978,2015-02-23,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Northbend,6751 5th Hwy,9,2,NO,1,5,YES,56840.0,7170,15500,44100,Mercedes,ML350,2015,N
395,65,520006,1992-12-09,IN,100/300,2000,1195.53,0.0,469768,MALE,College,adm-clerical,sleeping,unmarried,0,0,2015-02-14,Multi-vehicle Collision,Front Collision,Total Loss,Police,SC,Northbrook,9734 2nd Ridge,15,3,NO,1,0,NO,63950.0,2000,10800,49700,Jeep,Wrangler,2015,N
106,39,658892,2010-04-29,OH,100/300,500,1617.6,2000000.0,616224,FEMALE,JD,transport-moving,video-games,other-relative,0,0,2015-02-05,Vehicle Theft,?,Minor Damage,Police,NY,Columbus,1562 Britain St,11,1,?,1,0,?,1200.0,4000,0,8800,Honda,Accord,1998,N
4,41,43784,2002-07-28,IL,100/300,1000,891.8,1000000.0,633006,MALE,MD,tech-support,chess,not-in-family,70051,80102,2015-01-27,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,1762 Maple Hwy,8,3,?,0,1,?,46600.0,6500,12600,39920,Dodge,RAM,1995,Y
483,51,524622,2010-11-14,IN,100/300,1000,1615.21,0.0,379920,FEMALE,MD,machine-op-inspct,hiking,own-child,0,0,2015-02-14,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Northbrook,8949 Rock Hwy,6,1,YES,1,1,NO,67600.0,15300,5610,70300,Mercedes,E400,1995,N
167,27,640137,1995-02-17,IN,100/300,2000,1401.62,3000000.0,460445,FEMALE,JD,exec-managerial,cross-fit,wife,0,25218,2015-01-21,Single Vehicle Collision,Side Collision,Total Loss,Other,NC,Columbus,3414 Elm Ave,8,2,YES,1,3,?,71900.0,5400,12060,53960,Suburu,Legacy,2011,Y
271,32,566165,1996-01-16,IN,250/500,2000,1388.41,0.0,653686,MALE,MD,armed-forces,skydiving,own-child,0,0,2015-01-24,Vehicle Theft,?,Trivial Damage,Police,WV,Springfield,4939 Best St,1,1,?,1,1,NO,300.0,2700,3690,5000,Jeep,Grand Cherokee,2007,Y
117,28,318511,1993-08-09,OH,250/500,500,1110.2,0.0,433405,FEMALE,Associate,protective-serv,hiking,not-in-family,119734,0,2015-01-18,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Northbrook,1331 Elm Ridge,4,1,?,1,4,?,60090.0,10400,8190,38400,Nissan,Maxima,1998,N
193,47,155208,2006-08-05,IN,500/1000,2000,798.21,0.0,449957,MALE,High School,priv-house-serv,skydiving,not-in-family,26029,5645,2015-01-05,Vehicle Theft,?,Trivial Damage,,OH,Columbus,3878 Tree Lane,5,1,?,2,2,?,28280.0,0,0,2400,Dodge,RAM,2000,N
113,27,200581,2012-08-05,IN,250/500,500,1427.46,0.0,397866,FEMALE,Masters,machine-op-inspct,chess,not-in-family,90847,0,2015-01-14,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,8368 Cherokee Ave,8,1,YES,0,1,YES,65700.0,15900,0,77370,Volkswagen,Jetta,2010,Y
217,37,482177,2012-07-24,IN,100/300,1000,1823.79,1000000.0,423826,MALE,JD,transport-moving,hiking,own-child,0,0,2015-02-17,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Riverwood,1580 Maple Lane,9,2,NO,0,2,?,76240.0,11200,4600,57580,Accura,RSX,2000,N
458,51,863086,1990-02-15,IN,100/300,1000,2035.94,4000000.0,529207,MALE,Masters,machine-op-inspct,reading,own-child,65435,116502,2015-01-12,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Hillsdale,2217 Tree Lane,9,1,?,2,4,?,106220.0,16600,0,74600,Mercedes,E400,1994,Y
120,35,833532,2011-07-31,OH,100/300,2000,1079.79,10000000.0,479628,FEMALE,JD,farming-fishing,skydiving,wife,17853,0,2015-02-14,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,VA,Hillsdale,3769 Sky St,16,1,YES,0,1,NO,62500.0,13800,7100,21100,Ford,F150,2010,Y
279,30,593327,2001-11-06,IN,100/300,2000,1697.25,1000000.0,618339,FEMALE,Associate,machine-op-inspct,camping,wife,0,0,2015-02-25,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,3797 Solo Lane,16,4,YES,2,3,YES,56200.0,9520,10000,71740,Chevrolet,Tahoe,2012,N
267,35,833708,2000-02-09,IN,100/300,2000,1233.95,0.0,519574,MALE,Associate,machine-op-inspct,cross-fit,husband,0,0,2015-02-21,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Columbus,9856 Apache St,13,2,YES,2,1,?,37920.0,7100,180,50700,Ford,Fusion,2013,Y
426,45,1047703,2006-02-05,IN,500/1000,1000,1755.66,0.0,428294,FEMALE,Associate,protective-serv,hiking,not-in-family,0,12803,2015-01-14,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Springfield,6550 Andromedia St,11,1,YES,0,3,NO,45100.0,4900,9700,68590,Dodge,RAM,2009,Y
307,48,824747,1999-10-28,OH,250/500,2000,1292.82,0.0,471034,FEMALE,Masters,farming-fishing,movies,wife,0,85835,2015-02-27,Vehicle Theft,?,Trivial Damage,Police,WV,Riverwood,8742 4th St,4,1,NO,3,1,NO,2400.0,6700,3200,6200,Honda,Accord,2003,N
434,54,830829,2004-08-12,IL,500/1000,500,1235.08,0.0,539264,FEMALE,Masters,handlers-cleaners,paintball,wife,102,0,2015-02-18,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,7797 Tree Ridge,13,2,YES,1,1,?,17130.0,4980,5990,22480,Mercedes,E400,1992,N
272,44,34319,1991-11-20,OH,250/500,2000,988.97,3000000.0,437789,MALE,Masters,exec-managerial,camping,unmarried,0,63027,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,OH,Riverwood,4972 Francis Lane,19,1,?,2,2,YES,31100.0,9540,9000,13600,Chevrolet,Silverado,2007,N
304,46,1012309,1997-12-25,IL,250/500,1000,648.5,0.0,694814,MALE,JD,craft-repair,polo,other-relative,0,0,2015-01-27,Multi-vehicle Collision,Side Collision,Minor Damage,Other,NC,Springfield,9352 Washington Ave,7,2,?,2,2,YES,48970.0,3470,6100,37900,Honda,Civic,1997,N
197,28,701457,2005-11-20,IL,100/300,2000,1089.86,2000000.0,639358,FEMALE,Masters,craft-repair,sleeping,not-in-family,0,16717,2015-02-07,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,Hillsdale,7201 Washington Ave,12,4,NO,2,0,NO,62400.0,6200,8090,50200,Volkswagen,Jetta,2013,N
95,22,571293,2000-12-27,IN,100/300,500,1056.43,1000000.0,434840,FEMALE,JD,sales,yachting,not-in-family,12893,43332,2015-02-04,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Arlington,7937 Weaver Ridge,10,1,YES,1,1,NO,61290.0,8700,16700,29100,Toyota,Camry,2013,Y
70,29,841228,1993-10-29,IN,500/1000,500,1390.08,0.0,434722,MALE,Associate,protective-serv,reading,other-relative,51257,66612,2015-01-31,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,6250 1st Ridge,14,2,YES,0,2,YES,53880.0,11420,11890,55450,Suburu,Forrestor,2002,Y
245,44,331875,2012-07-29,OH,100/300,2000,1036.46,0.0,439997,MALE,College,handlers-cleaners,chess,husband,0,109576,2015-01-05,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,SC,Columbus,6706 Francis Drive,14,1,NO,3,3,?,29430.0,14000,0,50000,Volkswagen,Jetta,2006,Y
130,34,964870,2001-03-04,IL,500/1000,500,1823.73,10000000.0,619595,FEMALE,Associate,prof-specialty,cross-fit,husband,22970,0,2015-01-30,Single Vehicle Collision,Rear Collision,Total Loss,Other,NY,Northbend,1546 Cherokee Ave,1,1,YES,0,1,?,48600.0,5600,10220,39600,BMW,X6,1997,Y
266,50,475914,2005-04-28,OH,250/500,1000,1311.2,0.0,423893,FEMALE,JD,adm-clerical,paintball,own-child,0,0,2015-02-22,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbrook,3659 Oak Lane,23,3,NO,1,2,YES,27760.0,5080,5710,49320,Jeep,Wrangler,2012,N
370,39,772074,2004-12-28,IL,100/300,500,954.33,0.0,639563,FEMALE,PhD,handlers-cleaners,movies,not-in-family,21962,0,2015-01-28,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,6581 Rock Ridge,7,1,NO,0,0,YES,43050.0,9100,5100,27870,Accura,TL,1996,N
402,53,848445,1998-06-24,OH,250/500,2000,1836.97,0.0,480416,MALE,College,farming-fishing,skydiving,husband,0,1289,2015-02-26,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,VA,Springfield,3122 Apache Drive,8,1,YES,1,3,?,84930.0,10400,5010,27800,Dodge,Neon,2008,N
248,48,288500,2009-02-12,OH,100/300,2000,1854.37,1000000.0,413420,MALE,Associate,handlers-cleaners,chess,husband,7583,25193,2015-01-21,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Hillsdale,7502 Rock Lane,16,1,NO,1,3,YES,101000.0,6890,13700,81670,Nissan,Pathfinder,1997,N
290,48,1213927,2004-11-04,OH,100/300,1000,1873.81,0.0,420249,MALE,MD,farming-fishing,cross-fit,other-relative,102445,10331,2015-01-05,Single Vehicle Collision,Side Collision,Total Loss,Police,VA,Northbend,3167 4th Ridge,2,1,?,0,2,YES,63360.0,5500,13000,30220,Saab,95,2001,Y
134,34,475339,2002-05-27,IL,250/500,1000,1348.3,5000000.0,416347,MALE,High School,tech-support,exercise,other-relative,0,0,2015-02-21,Vehicle Theft,?,Trivial Damage,Police,SC,Hillsdale,2968 Andromedia Ave,6,2,NO,0,2,?,5360.0,0,2900,28290,Jeep,Wrangler,2010,N
495,60,790305,1991-04-13,OH,500/1000,500,1455.12,4000000.0,451663,FEMALE,MD,other-service,chess,wife,0,0,2015-01-12,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,7544 Washington Ave,15,2,YES,1,3,YES,92590.0,7700,1300,40500,Accura,TL,2012,N
257,55,344321,1997-05-15,IN,500/1000,2000,685.14,1000000.0,621172,MALE,Masters,prof-specialty,movies,not-in-family,0,0,2015-01-19,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,1012 5th Lane,12,1,?,2,3,NO,34400.0,160,10400,33870,Audi,A3,2009,Y
241,30,442022,1991-05-06,OH,500/1000,2000,1654.15,0.0,458272,FEMALE,Associate,farming-fishing,reading,own-child,56881,0,2015-02-16,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,8281 Lincoln Lane,15,1,?,0,0,?,54800.0,5220,15200,38500,Saab,92x,1999,N
189,21,870864,1999-12-07,OH,250/500,2000,1147.74,5000000.0,394904,FEMALE,High School,sales,board-games,own-child,0,4799,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,8442 Britain Hwy,3,3,YES,2,1,?,82600.0,15300,5500,48000,Saab,93,1999,N
250,34,656994,1993-02-09,IN,250/500,500,1042.71,0.0,591672,MALE,High School,exec-managerial,golf,unmarried,12556,0,2015-01-16,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,7142 5th Lane,20,5,?,2,1,YES,34440.0,6850,9920,50320,Honda,Civic,2012,Y
124,40,1215666,2007-04-28,OH,250/500,2000,1210.18,0.0,461409,FEMALE,MD,priv-house-serv,basketball,own-child,0,0,2015-02-13,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,2617 Andromedia Drive,17,3,?,1,3,YES,91200.0,16000,13670,47100,Ford,Escape,2009,N
131,18,985993,1998-03-08,OH,100/300,2000,1322.28,1000000.0,505115,MALE,Masters,machine-op-inspct,camping,other-relative,0,10322,2015-01-21,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbend,6408 Weaver Ridge,1,1,YES,0,0,?,47620.0,5750,360,36230,Mercedes,E400,2004,N
368,53,651577,2003-01-18,IN,500/1000,2000,671.98,2000000.0,380315,MALE,Masters,transport-moving,bungie-jumping,own-child,0,0,2015-01-03,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,9360 3rd Drive,1,1,YES,3,3,NO,34590.0,5900,13400,40200,Nissan,Maxima,2010,N
119,29,950119,2014-12-28,OH,500/1000,500,1473.86,0.0,517361,FEMALE,MD,craft-repair,yachting,other-relative,0,0,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3842 Solo Ridge,15,1,YES,1,1,NO,72770.0,700,11700,66600,Accura,TL,2013,N
267,51,679510,2014-12-10,IN,250/500,500,720.51,1000000.0,446350,MALE,Associate,sales,reading,not-in-family,0,0,2015-01-14,Parked Car,?,Trivial Damage,Police,WV,Columbus,3327 Lincoln Drive,5,2,NO,1,1,NO,3040.0,5600,0,2500,Suburu,Legacy,2002,N
254,43,489727,1992-03-03,OH,500/1000,1000,1085.11,0.0,368312,MALE,Masters,exec-managerial,kayaking,not-in-family,74024,0,2015-01-30,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Northbend,4477 5th Ave,15,3,YES,1,1,YES,55850.0,0,8900,42970,Accura,RSX,2001,Y
104,39,978000,1991-12-14,OH,250/500,2000,1399.9,0.0,373243,FEMALE,Associate,tech-support,sleeping,unmarried,21570,16813,2015-01-04,Single Vehicle Collision,Rear Collision,Major Damage,Other,VA,Arlington,2950 MLK Ave,11,2,?,2,3,?,84590.0,3100,7480,56790,Nissan,Maxima,2001,N
127,29,385676,2012-01-05,IL,100/300,1000,1838.59,0.0,490296,FEMALE,College,adm-clerical,skydiving,other-relative,0,0,2015-02-01,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,5506 Best St,13,1,YES,2,1,NO,66010.0,5110,6440,54370,Chevrolet,Silverado,2010,Y
332,69,557993,2008-12-01,OH,100/300,1000,1056.82,4000000.0,445537,FEMALE,JD,other-service,base-jumping,unmarried,0,0,2015-02-17,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NY,Hillsdale,5160 2nd Hwy,2,3,NO,1,3,NO,34330.0,900,0,38700,Suburu,Legacy,1995,N
224,45,665476,1990-10-19,IN,100/300,1000,1379.27,1000000.0,510751,FEMALE,College,protective-serv,yachting,not-in-family,0,0,2015-01-24,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,7717 Britain Hwy,15,1,YES,0,1,?,50590.0,15610,12500,37500,Saab,92x,2004,N
489,60,526280,2000-11-16,OH,100/300,500,1229.11,2000000.0,437311,FEMALE,Associate,exec-managerial,cross-fit,wife,13277,0,2015-02-02,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Northbrook,1536 Flute Drive,12,1,YES,2,0,?,107090.0,8300,20300,73800,Accura,TL,1999,Y
392,50,271448,1998-04-07,OH,250/500,500,1761.49,1000000.0,458222,MALE,PhD,transport-moving,base-jumping,not-in-family,63899,0,2015-02-28,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,WV,Hillsdale,6149 Best Ridge,1,2,?,2,1,YES,48300.0,7360,4400,56400,Suburu,Legacy,2009,N
283,33,247844,1998-02-20,IL,250/500,1000,1210.2,0.0,542939,FEMALE,Masters,other-service,skydiving,not-in-family,32567,0,2015-01-31,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,VA,Columbus,5071 Flute Ridge,5,1,?,1,2,YES,76910.0,0,7050,66810,Nissan,Maxima,2002,Y
296,30,472407,2006-06-17,IL,250/500,2000,754.16,0.0,479095,MALE,College,protective-serv,reading,wife,2058,56696,2015-02-01,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,6522 Apache Drive,13,2,YES,2,1,YES,59560.0,13920,14550,38240,Audi,A3,2012,N
